	('Lou-NH91', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2342', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1703', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC15', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC78', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1781', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2228', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H441', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('HCC44', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('CAL-12T', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2405', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1666', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC827', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1975', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1650', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Calu-3', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H358', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1734', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('H1944', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1437', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1792', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('A549', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H23', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H838', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H460', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1299', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H661', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1355', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H446', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS53', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2106', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS153', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H82', 'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H69', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H524', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H209', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H526', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')
('UIMC1 phospho S171', 'Data-Type: phospho')	0.274942848928	0.26295926042	-0.233246909495	0.431432807406	1.41957499633	0.574169466182	1.79662956591	0.200578819733	0.65797229569	0.968866166825	0.878594571755	-0.461877395432	0.870339942978	0.167952341243	-0.886107075659	0.963262683252	2.48577166933	-0.695033020719	-0.296996480261	-0.670863946753	-0.498453521013	-0.627752019983	0.0135763377236	0.0	0.0692893607739	0.446518456853	0.0829878435327	-0.795917160578	-0.781549395516	-1.14177096067	-0.0133183054651	0.0	-1.28451368608	-1.80099869582	0.0	0.0	-2.37702086143
('PML phospho S480', 'Data-Type: phospho')	1.16604244472	-0.800684913463	-0.673509304948	0.92225270049	1.6244129921	-0.32428228904	2.05581976374	0.315552383572	-0.5966512205	-0.155071632344	1.60291862127	-0.291785863894	0.963377820561	1.19137797629	-0.228415805131	0.561656482666	2.11993324462	-1.89161336703	0.895370244563	-0.150176050485	-1.17818823003	-0.616337481494	0.0806419934682	-1.75021107787	-0.020995374444	0.272094830055	-1.29953036746	-0.387401800927	-1.08904543751	-1.35605522616	-0.199547196718	0.602313632279	-0.052345310479	-0.0808042429552	-0.41175644274	-0.031541820693	-0.787814674088
('G3BP1 Rme1 R435', 'Data-Type: Rme1')	0.799196983018	0.30771626308	0.69753695966	-1.19367286469	0.677779662246	0.265033543723	1.6784731608	-0.0334567055439	0.971354605126	0.444798731959	-0.425974241099	0.190600149532	-0.377263046958	0.871462153762	-1.38879629645	-0.846314249382	0.0016146006912	-1.37195354693	-0.246422290515	-0.15525217997	0.294067230048	0.210743884534	0.517700450026	0.436177539923	1.70826911831	1.85174372983	1.29566936927	-1.17086508481	-0.503653159726	-0.729217136982	-1.06012791829	0.689015825745	-1.34293522043	-1.65689971008	0.0	0.750662583653	-2.15681289309
('LMNB2 phospho T34', 'Data-Type: phospho')	1.33170268762	-0.256585275105	-0.237380377046	0.0745386976293	0.45721952694	0.28942475908	0.424756063027	0.680813423164	0.503400512476	1.48612316901	-0.886093940809	-0.037934912358	-0.929821044336	0.546776739522	-0.639480823157	-0.296243699301	0.946425361412	-0.037934912358	-1.53461192123	-0.580704665179	-0.91751423698	-0.207501739954	1.93657951259	-0.15627128869	-0.503814053197	1.25997010833	0.614620416032	-0.312363312774	0.764568580796	-1.11215538885	0.742648241178	1.90835561837	-2.99443641926	-0.11066042662	-0.432783797366	-0.215107371418	-1.56852381119
('TCOF1 phospho S1350', 'Data-Type: phospho')	1.30278119716	-0.157937111416	0.308313724231	0.452229621369	0.665924095155	-0.948643181233	0.337843222284	0.593007027969	0.815489035928	-1.09803750687	0.389593140077	2.0958376474	0.567150919644	0.782433619804	0.310063727042	0.160783597738	-0.000120431863436	-1.57661225193	1.428959416	1.05007275002	0.349009375162	-0.465917675466	1.09064949752	-1.74483089964	-0.600748950286	-0.457575645336	0.21644677697	-0.122217618991	-0.502819248032	1.00923200302	1.03289010472	-0.876336671209	-1.94162817449	-1.87516233544	-0.911528933933	-1.6238122374	-0.0547816256579
('KANK1 phospho T1334', 'Data-Type: phospho')	0.216049266883	0.357359949333	-1.08402531723	0.375881621656	0.436286757451	-0.462931657749	-0.581762490975	-0.330684885152	0.400935938139	-1.31692209092	0.514889437343	2.16982057801	-0.459314838072	0.0745707150031	1.75847105566	-0.310614309697	-0.00601950378864	-0.0472822725982	0.690951635496	2.30771549084	0.567099308351	0.0647998549151	-0.451410948508	-1.75535938093	1.39979171635	-0.269848685696	0.35308652348	0.637106211867	-0.982068420182	0.0574734101795	-0.653164651065	0.454942335167	-0.56841073052	-1.98879655742	0.0	-2.06772592522	0.499110859592
('SMG1 phospho S3556', 'Data-Type: phospho')	0.168241124889	0.435328632786	0.252697412224	0.070590536475	0.0552791043522	0.450357392329	1.19575163144	-0.339534355205	-0.296643069086	-0.239760494916	0.806892733671	1.10463566817	0.0365514304137	-0.970451291155	1.24853573939	0.422586519641	1.27945659637	-0.281744538378	0.374137589406	0.190331239797	-0.198769804058	0.579560412086	-0.326324148431	-1.49924119304	0.300246005899	0.0685368237239	-0.725331133224	1.21727578311	-0.263582075148	0.202138681982	1.2373013385	-0.0545916122298	-1.2306629936	-4.17941718372	-0.802153383796	-0.927967942307	0.639742821644
('PPP1R16A phospho S60', 'Data-Type: phospho')	0.468746342165	-0.616326635856	0.0498452800794	-0.144441736477	0.0266233554236	0.713506269427	0.656610691206	0.254487239234	-0.853697892886	-1.49232419518	0.902218456879	0.96835907558	0.555273885784	-0.984907872134	1.09634383278	1.15646341822	1.643322408	-0.156233280509	0.131971517415	0.147115997039	-0.0779080737802	-0.0412315954968	-1.64913668109	-0.870871284275	0.463110258399	-0.861850155119	-2.24723490139	0.778748831821	-0.239394964458	1.4923880909	1.13588446404	0.626588099636	-0.825648543417	-2.34225191697	-0.756641884716	-0.522382326667	1.41487642639
('PDXDC1 phospho S779', 'Data-Type: phospho')	2.16362079258	-0.326080853241	0.253073539266	0.0790385655431	0.734496419885	0.39258188287	1.56329278179	-0.622023948115	-0.389321284666	-0.290054349083	0.732808584443	0.525338695086	-0.726273416687	-0.920831046237	2.28673649119	0.177768129657	0.551828054729	-0.382630844201	0.233820260216	1.48234903173	0.827838368902	0.114468246006	-0.490353791658	-0.259567949786	-0.385290701332	-1.21344335625	-1.34865542547	0.170698188832	-0.402050965862	0.579741822112	-0.259567949786	0.70685175792	-0.882625112528	-2.93502611228	-1.22262499746	-0.837295899405	0.317366391287
('ELMSAN1 phospho S461', 'Data-Type: phospho')	-0.892946869423	1.07791109525	-0.552395785422	0.297591112164	0.273144137411	1.25139296756	1.50048407409	-0.135287752077	0.982261850152	-0.000325595806122	-0.164507658491	1.97560542718	0.384899920886	0.784669332137	0.106648880272	-1.45963678262	0.851061338733	0.35371322792	0.551082051211	1.19999531861	-0.0601518100027	-1.23344008442	0.0530594473955	0.553405198625	0.636819452902	0.162141684997	-0.0901670910795	-0.69312286461	-1.23344008442	-0.173645235082	0.990795571155	-0.322892645746	-0.9669446937	-2.95885032255	-1.54336486451	-1.36347874149	-0.142083207192
('ANP32B phospho T244', 'Data-Type: phospho')	-1.52240053209	0.402312688874	-0.707025577685	0.532997134414	-0.212818695744	0.623559478362	2.17376600948	-0.896337149226	0.207438767576	0.139915138927	-0.739475270354	0.387889325339	0.101653170305	0.943355885876	1.08855410555	-0.62966411832	1.42140033591	0.970642338807	2.11871327444	0.89942332491	-0.241875800278	-0.685923267137	-0.452474626821	-0.56638068459	0.233791394081	0.935776041951	0.32617113725	-0.929838977073	0.183427267654	0.303720572202	-0.994752160876	0.43125131339	-1.87864298202	-2.39144032522	-0.588691793626	-1.17646609156	0.188449347324
('USP39 phospho S97', 'Data-Type: phospho')	0.543752429796	-0.233719490436	0.247480054221	-0.780433976256	1.23708841384	0.560463695108	1.06832602057	-0.0461028554662	0.07687322121	-0.455894787246	-0.402077738003	-0.214903406678	-0.382837161726	-0.124054747121	0.0912138521983	-0.484691622175	-0.326170686687	-0.176174937189	0.898349883648	1.19210641529	0.176143027678	-2.28429850179	0.505852879028	-1.09007603796	0.636210278694	0.837027435529	0.639277302611	-0.404638328292	0.916034040561	0.822936160305	0.185428883918	0.644554684861	-0.723148102406	-3.97605731935	-0.288563843893	-0.286837023496	1.40156188711
('FIP1L1 phospho S559', 'Data-Type: phospho')	-0.428226866933	0.0854905350265	0.153363123953	-0.384730940763	0.437587809618	0.886071421611	0.982186141917	-0.365345498759	0.160590573729	0.174934741144	-0.0232254825113	0.818130196689	0.0	0.0	0.0	0.0	0.392514754031	0.29026260944	0.766637799613	1.28135700765	0.0612344745727	-1.44184909468	0.188867207959	0.0	-0.128150484091	0.174934741144	1.58934763445	-0.147138967988	0.322636901822	0.56215351072	0.0	0.0	-1.60467594767	-3.64353824305	-1.40832686383	-0.307488406108	0.554395611298
('PUM1 phospho T112', 'Data-Type: phospho')	0.868305959309	0.474042455388	-0.669978027853	0.466978556726	0.998296722059	0.0340368953099	1.3448187618	0.234595928783	-0.544537394285	-0.596035296991	-1.33982999961	0.0258194790751	-0.276441867656	-0.190390330659	1.09377423475	-0.0918905980915	0.613384282046	0.256172772538	0.634154035989	-0.00481612109628	-0.517839231455	-1.28487311967	-0.152139527006	-1.00738744771	0.305909305795	-0.0223366029929	1.0966749617	-1.17737845451	0.403726182216	0.858357912258	0.155151321107	2.48719680592	-1.73583636156	-2.8329851586	-1.15751707869	-0.0720544107707	1.32287045645
('TBC1D4 phospho S588', 'Data-Type: phospho')	0.934571270798	-0.873368810812	0.530189841832	0.90299705424	-0.0764883061307	0.494822620627	-0.0803177101392	0.0811679779118	1.24073673928	0.548109202789	-0.616470789161	-0.373044810039	-0.40438492411	0.583748843645	0.168825456322	0.766682874907	1.04129313782	-0.948967280233	0.304058519109	0.870536692256	0.147549684784	-0.456302960985	0.749005505198	-0.512915291217	0.737518925314	1.02417552882	-1.84713419937	-1.26255069763	0.0515626952497	0.987544307712	-0.28432728812	0.548932010814	-1.47991466814	-3.54604211762	-0.199256626869	-1.06811048606	1.31556807719
('CTDSPL2 phospho S9', 'Data-Type: phospho')	0.662997268104	-0.00322748822833	0.210452556467	0.953479390824	0.680913298431	0.741390884243	-0.661016302895	1.52300259076	-0.83630150973	0.946874781055	-0.379642869581	0.367628780673	0.0	0.0	0.0	0.0	0.987725051617	-0.723327143548	0.23188764179	0.0805282250485	0.0783375381864	-1.01560538601	0.748212382847	-0.979339457302	-0.820264695773	0.384561787202	-0.188519791137	-1.05956777387	0.908010124999	-0.0926242773532	0.0	1.14819733933	-2.98789336498	-2.26101897414	-0.294538257373	0.484872079188	1.16381557116
('CHD9 phospho S550', 'Data-Type: phospho')	0.18317286359	-0.476073769363	-0.649567500442	0.48973525622	0.254026844662	-0.921344113798	0.238096640861	0.0	0.471666144896	1.13238201555	0.867311160662	0.254026844662	-0.898547338404	-0.65451078829	0.273298653586	0.78187137794	0.0589382463586	-1.31656491858	1.03415534851	1.40825945493	0.0	0.0	0.0	0.0687374339419	1.63949523625	-0.241052041518	-2.35361690394	0.0	0.538718303388	0.318294742765	2.13890184744	-1.01545608196	-0.491057515588	-1.92641017953	0.0	-0.372375309919	-0.834511954879
('CHD8 phospho S2519', 'Data-Type: phospho')	-1.4781532723	-0.195373326895	-0.453521759677	0.447133787465	1.17182924075	-0.629231342083	0.560094564589	0.0285615661823	0.992981278333	2.94181489392	0.78888514098	0.192412301564	1.17934695234	-0.485375936626	0.145270451832	0.403317704475	0.0	0.0	0.0	0.635101006865	0.720159162699	-0.310894666005	-0.363853813498	0.171206179436	0.0	0.0	-1.40565063237	-0.471040589296	0.416672038408	0.268708098842	1.11748673159	-1.34399568621	-1.38264808719	-0.94841285055	0.0	-1.29372083676	-1.41910830081
('SLC12A8 phospho T485', 'Data-Type: phospho')	0.226948998327	0.939186979464	-0.976472455811	0.487191002352	1.03822342604	-0.168758329323	0.553376494067	0.0	0.887013416842	1.40048889476	-1.17745704837	-0.206690205141	1.61819054006	-0.363716822046	0.153489873814	-0.0429982102713	-0.496553141385	-1.12372619416	0.0930209661832	1.77685096821	0.0	0.0	0.0	0.307699109371	0.627739097594	-0.889199580108	-1.14126048033	0.0	-0.76122631588	0.728553525654	1.06229903241	-0.531172414549	-2.20359957473	-1.86300617375	0.0	-0.815013788571	0.860578409283
('SPEN phospho T1140', 'Data-Type: phospho')	-0.704980935658	0.933228530384	0.187916701943	1.27850771714	-0.525311102599	0.045541205898	-0.0613651486335	-0.000643449631496	0.725016945886	0.464056725821	0.492202446515	0.422320462146	-0.753614918614	-1.3750298166	0.62040869111	0.623987716453	-0.239753246112	-0.333379712307	-0.67094170538	1.21364117765	0.588522104804	-0.202906315253	0.407850082591	-0.663016965607	0.925918761273	0.0639773967193	-0.42055238636	-0.559120226491	0.803991772231	1.17762878334	2.16719524357	0.856969760584	-2.41910432488	-2.33782716952	0.0	-1.7766785891	-0.954656213312
('SPEN phospho S2101', 'Data-Type: phospho')	-0.290496536672	0.0360686813981	-0.273381642855	0.806588332435	-0.0871228931882	-0.373550020731	0.254773108594	-0.131985651191	1.54801724914	0.976282544758	0.83894978906	1.10094347806	-0.851480333527	-0.856001052201	-0.742907982459	-0.255806492871	-0.421531470226	-0.275864150474	0.884220677454	1.84807469776	0.527783790415	0.954314230735	0.568676715507	-1.0808919364	1.16799894412	0.514812007975	-0.905015358445	-0.324051393189	0.504639945643	0.83272445912	1.01658404268	-0.123532855854	-2.04255707441	-2.45811262874	0.0	-1.97021904201	-0.916944179429
